Pair Number,System A,System B,BLEU Score A,BLEU p-value A,BLEU Mean A,BLEU CI A,BLEU Score B,BLEU p-value B,BLEU Mean B,BLEU CI B,Significant
12,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_16_epoch14_10.45.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,86.79955779738775,0.11688311688311688,86.86966499876482,2.43564647238496,0
13,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_26_epoch14_10.16.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.44453596788466,0.01098901098901099,88.47872660612965,2.2439012869156585,1
14,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_2_epoch13_10.27.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,87.21526223812337,0.07592407592407592,87.22452761764137,2.4472458128187426,0
15,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_35_epoch12_10.39.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,89.2327912326083,0.002997002997002997,89.26235697052515,2.2229172580831076,1
16,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_14_epoch12_10.49.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,85.07422738199156,0.2627372627372627,85.04069706735268,2.715632361742017,0
17,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_25_epoch12_10.21.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,87.78397316682823,0.011988011988011988,87.78311057532261,2.3990330360641963,1
18,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_21_epoch14_10.30.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.75854584293633,0.003996003996003996,88.72938885045697,2.218190787354388,1
19,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_18_epoch13_10.49.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.67507995231249,0.003996003996003996,88.62195135068596,2.232488928923715,1
20,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_1_epoch11_10.32.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.77459912522352,0.004995004995004995,88.7764543827047,2.3837624806836146,1
21,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_37_epoch14_10.20.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.3963157687157,0.00999000999000999,88.41291198220345,2.4980638248437117,1
22,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_20_epoch11_10.22.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,86.99667560093822,0.07492507492507493,87.01687571575324,2.427102453600618,0
23,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_19_epoch14_10.43.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.63554359646874,0.005994005994005994,88.66766324976408,2.31470970258804,1
24,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_12_epoch11_10.24.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.68997481101485,0.003996003996003996,88.71283469021934,2.2218592603785297,1
25,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_38_epoch14_10.32.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.080528013648,0.01898101898101898,88.06306106505615,2.393028203638387,1
26,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_28_epoch14_10.34.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,89.3753371225337,0.000999000999000999,89.38917128248885,2.3659547826974787,1
27,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_34_epoch12_10.34.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,89.24262791038683,0.001998001998001998,89.20949251887825,2.277128115462496,1
28,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_30_epoch13_10.16.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,89.43034158828905,0.000999000999000999,89.41283723826393,2.1462333547480057,1
29,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_23_epoch13_10.31.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,87.54359783592983,0.04995004995004995,87.5413567589357,2.3747593631962047,1
30,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_0_epoch14_10.37.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,87.79156146701379,0.04195804195804196,87.80119577190246,2.634399909334867,1
31,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_32_epoch13_10.24.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.59671505222447,0.001998001998001998,88.58141878544778,2.178758247398221,1
32,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_17_epoch13_10.13.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,87.4434488118232,0.03896103896103896,87.46838050119042,2.340934224269695,1
33,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_22_epoch13_10.32.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.33747406220984,0.022977022977022976,88.32558452817207,2.2342439023061047,1
34,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_4_epoch9_10.63.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,87.14864780927392,0.1008991008991009,87.19074255446908,2.4963346556447235,0
35,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_15_epoch13_10.33.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,87.79194880155316,0.023976023976023976,87.77334008808484,2.5743121108754394,1
36,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_36_epoch13_10.29.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.08237181910852,0.016983016983016984,88.08860634996405,2.3418188558354274,1
37,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_11_epoch13_10.30.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,88.70044429877855,0.001998001998001998,88.69145036380432,2.247682116510802,1
38,Baseline: results/text-simplification/nts_test_selected/result_nts_search_24_epoch11_10.25.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_3_epoch12_10.30.t7_5_h1,85.54911482807059,,85.54108670771373,2.5735828835682,84.53254284904402,0.17482517482517482,84.49422105402822,2.884057142554674,0
39,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.85122894771708,0.13286713286713286,88.84845803589755,2.148034970459122,0
40,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_29_epoch14_10.33.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.45811041823475,0.07092907092907093,88.45275877222288,2.3001104209601664,0
41,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_16_epoch11_10.45.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,86.83637175723291,0.003996003996003996,86.87145194336594,2.424355186051102,1
42,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_27_epoch14_10.21.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,89.8677797061458,0.3856143856143856,89.89929650633958,2.22541343940798,0
43,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_39_epoch12_10.24.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,87.82122026562153,0.01898101898101898,87.79586041451621,2.5942019518380235,1
44,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_31_epoch14_10.34.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,87.19795332546306,0.001998001998001998,87.1899820078139,2.420903265838831,1
45,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_13_epoch13_10.12.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.99845502205497,0.14685314685314685,89.00806174276883,2.141900351583466,0
46,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_10_epoch14_10.26.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,86.90840801524928,0.002997002997002997,86.9414639153218,2.3476304193015665,1
47,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_23_epoch14_10.31.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,87.27803750217201,0.000999000999000999,87.28466461989385,2.5093478001015086,1
48,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_33_epoch12_10.39.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.01988844143516,0.04195804195804196,87.99000811143257,2.363172206379488,1
49,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_16_epoch14_10.45.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,86.79955779738775,0.001998001998001998,86.86966499876482,2.43564647238496,1
50,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_26_epoch14_10.16.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.44453596788466,0.08891108891108891,88.47872660612965,2.2439012869156585,0
51,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_2_epoch13_10.27.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,87.21526223812337,0.004995004995004995,87.22452761764137,2.4472458128187426,1
52,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_35_epoch12_10.39.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,89.2327912326083,0.17182817182817184,89.26235697052515,2.2229172580831076,0
53,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_14_epoch12_10.49.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,85.07422738199156,0.000999000999000999,85.04069706735268,2.715632361742017,1
54,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_25_epoch12_10.21.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,87.78397316682823,0.01998001998001998,87.78311057532261,2.3990330360641963,1
55,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_21_epoch14_10.30.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.75854584293633,0.12887112887112886,88.72938885045697,2.218190787354388,0
56,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_18_epoch13_10.49.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.67507995231249,0.0969030969030969,88.62195135068596,2.232488928923715,0
57,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_1_epoch11_10.32.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.77459912522352,0.09090909090909091,88.7764543827047,2.3837624806836146,0
58,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_37_epoch14_10.20.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.3963157687157,0.060939060939060936,88.41291198220345,2.4980638248437117,0
59,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_20_epoch11_10.22.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,86.99667560093822,0.001998001998001998,87.01687571575324,2.427102453600618,1
60,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_19_epoch14_10.43.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.63554359646874,0.10589410589410589,88.66766324976408,2.31470970258804,0
61,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_12_epoch11_10.24.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.68997481101485,0.06293706293706294,88.71283469021934,2.2218592603785297,0
62,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_38_epoch14_10.32.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.080528013648,0.04395604395604396,88.06306106505615,2.393028203638387,1
63,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_28_epoch14_10.34.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,89.3753371225337,0.2077922077922078,89.38917128248885,2.3659547826974787,0
64,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_34_epoch12_10.34.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,89.24262791038683,0.17182817182817184,89.20949251887825,2.277128115462496,0
65,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_30_epoch13_10.16.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,89.43034158828905,0.24075924075924077,89.41283723826393,2.1462333547480057,0
66,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_23_epoch13_10.31.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,87.54359783592983,0.006993006993006993,87.5413567589357,2.3747593631962047,1
67,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_0_epoch14_10.37.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,87.79156146701379,0.013986013986013986,87.80119577190246,2.634399909334867,1
68,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_32_epoch13_10.24.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.59671505222447,0.08291708291708291,88.58141878544778,2.178758247398221,0
69,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_17_epoch13_10.13.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,87.4434488118232,0.002997002997002997,87.46838050119042,2.340934224269695,1
70,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_22_epoch13_10.32.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.33747406220984,0.029970029970029972,88.32558452817207,2.2342439023061047,1
71,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_4_epoch9_10.63.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,87.14864780927392,0.002997002997002997,87.19074255446908,2.4963346556447235,1
72,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_15_epoch13_10.33.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,87.79194880155316,0.013986013986013986,87.77334008808484,2.5743121108754394,1
73,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_36_epoch13_10.29.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.08237181910852,0.030969030969030968,88.08860634996405,2.3418188558354274,1
74,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_11_epoch13_10.30.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,88.70044429877855,0.06793206793206794,88.69145036380432,2.247682116510802,0
75,Baseline: results/text-simplification/nts_test_selected/result_nts_search_27_epoch12_10.21.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_3_epoch12_10.30.t7_5_h1,89.83495155957222,,89.86724748242277,2.1712288582634685,84.53254284904402,0.000999000999000999,84.49422105402822,2.884057142554674,1
76,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_29_epoch14_10.33.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,88.45811041823475,0.25574425574425574,88.45275877222288,2.3001104209601664,0
77,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_16_epoch11_10.45.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,86.83637175723291,0.017982017982017984,86.87145194336594,2.424355186051102,1
78,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_27_epoch14_10.21.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,89.8677797061458,0.11388611388611389,89.89929650633958,2.22541343940798,0
79,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_39_epoch12_10.24.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,87.82122026562153,0.11488511488511488,87.79586041451621,2.5942019518380235,0
80,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_31_epoch14_10.34.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,87.19795332546306,0.058941058941058944,87.1899820078139,2.420903265838831,0
81,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_13_epoch13_10.12.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,88.99845502205497,0.34065934065934067,89.00806174276883,2.141900351583466,0
82,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_10_epoch14_10.26.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,86.90840801524928,0.03396603396603397,86.9414639153218,2.3476304193015665,1
83,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_23_epoch14_10.31.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,87.27803750217201,0.052947052947052944,87.28466461989385,2.5093478001015086,0
84,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_33_epoch12_10.39.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,88.01988844143516,0.17182817182817184,87.99000811143257,2.363172206379488,0
85,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_16_epoch14_10.45.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,86.79955779738775,0.027972027972027972,86.86966499876482,2.43564647238496,1
86,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_26_epoch14_10.16.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,88.44453596788466,0.24775224775224775,88.47872660612965,2.2439012869156585,0
87,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_2_epoch13_10.27.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,87.21526223812337,0.04395604395604396,87.22452761764137,2.4472458128187426,1
88,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_35_epoch12_10.39.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,89.2327912326083,0.2677322677322677,89.26235697052515,2.2229172580831076,0
89,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_14_epoch12_10.49.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,85.07422738199156,0.001998001998001998,85.04069706735268,2.715632361742017,1
90,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_25_epoch12_10.21.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,87.78397316682823,0.1108891108891109,87.78311057532261,2.3990330360641963,0
91,Baseline: results/text-simplification/nts_test_selected/result_nts_search_41_epoch13_10.38.t7_5_h1,results/text-simplification/nts_test_selected/result_nts_search_21_epoch14_10.30.t7_5_h1,88.85122894771708,,88.84845803589755,2.148034970459122,88.75854584293633,0.3756243756243756,88.72938885045697,2.218190787354388,0
